56,133,249,321,326,327,320,227,112,44,16,6,1,-2,-13,-39,-91,-161,-233,-275,-276,-236,-163,-89,-37,-10
63,111,174,230,262,259,222,163,100,55,28,12,3,-5,-19,-42,-75,-115,-155,-176,-178,-155,-118,-77,-42,-20
59,89,123,153,172,169,149,118,83,53,30,15,4,-6,-20,-37,-59,-83,-106,-118,-118,-106,-85,-62,-39,-23
50,70,90,107,117,116,105,87,65,45,29,17,6,-5,-16,-29,-45,-60,-73,-81,-82,-75,-62,-47,-32,-22
43,54,67,76,82,81,75,64,52,38,25,15,6,-3,-13,-23,-33,-43,-52,-56,-56,-53,-45,-37,-26,-18
37,44,52,57,60,59,55,49,40,32,22,14,6,-1,-9,-16,-25,-30,-36,-39,-39,-38,-33,-27,-21,-15
31,35,41,44,45,46,43,38,32,26,20,13,6,0,-6,-12,-17,-23,-26,-29,-29,-27,-24,-21,-16,-12
27,29,32,35,36,36,33,31,27,22,16,12,7,1,-3,-8,-12,-15,-18,-20,-21,-19,-19,-16,-12,-10
22,24,26,28,29,29,27,24,22,18,15,11,6,3,-2,-5,-8,-11,-13,-14,-15,-14,-13,-11,-10,-8
19,21,24,24,24,23,23,20,18,15,13,9,6,3,0,-2,-5,-7,-9,-9,-11,-10,-9,-8,-6,-5
17,18,18,19,20,20,18,17,15,12,11,9,7,5,1,-1,-3,-4,-6,-6,-7,-7,-7,-5,-4,-3
